temperature	air_quality	carbon_monoxide	gas_and_smoke	label
30.56	220	349	177	Non-Fire
30.56	222	359	182	Non-Fire
30.56	209	355	174	Non-Fire
30.56	205	350	186	Non-Fire
30.56	219	351	176	Non-Fire
30.56	217	359	196	Non-Fire
30.56	208	353	182	Non-Fire
30.56	208	343	192	Non-Fire
30.56	211	350	178	Non-Fire
30.5	210	346	177	Non-Fire
30.56	211	367	191	Non-Fire
30.5	208	349	176	Non-Fire
30.5	208	364	180	Non-Fire
30.5	211	348	176	Non-Fire
30.5	206	350	176	Non-Fire
30.5	213	343	176	Non-Fire
30.5	210	347	182	Non-Fire
30.5	216	352	176	Non-Fire
30.5	208	350	189	Non-Fire
30.5	214	367	195	Non-Fire
30.44	211	355	191	Non-Fire
30.44	209	362	191	Non-Fire
30.44	219	352	184	Non-Fire
30.44	219	344	176	Non-Fire
30.44	211	361	177	Non-Fire
30.44	208	348	198	Non-Fire
30.44	212	345	182	Non-Fire
30.44	206	350	185	Non-Fire
30.44	221	364	198	Non-Fire
30.44	208	347	176	Non-Fire
30.44	208	356	194	Non-Fire
30.44	219	364	179	Non-Fire
30.44	214	362	195	Non-Fire
30.44	211	362	176	Non-Fire
30.38	206	354	176	Non-Fire
30.38	214	359	192	Non-Fire
30.44	214	353	176	Non-Fire
30.38	215	350	188	Non-Fire
30.38	209	357	188	Non-Fire
30.38	206	362	197	Non-Fire
30.38	217	347	189	Non-Fire
30.38	208	358	186	Non-Fire
30.38	218	347	188	Non-Fire
30.38	208	350	193	Non-Fire
30.38	210	347	192	Non-Fire
30.31	208	361	176	Non-Fire
30.38	213	347	195	Non-Fire
30.38	212	349	197	Non-Fire
30.38	205	349	176	Non-Fire
30.38	208	351	182	Non-Fire
30.38	213	351	182	Non-Fire
30.38	217	347	192	Non-Fire
30.31	210	358	194	Non-Fire
30.38	208	352	181	Non-Fire
30.38	219	348	183	Non-Fire
30.38	208	351	187	Non-Fire
30.38	205	348	186	Non-Fire
30.38	215	347	185	Non-Fire
30.44	203	356	178	Non-Fire
30.38	208	354	176	Non-Fire
30.44	215	363	174	Non-Fire
30.44	211	347	191	Non-Fire
30.44	211	364	176	Non-Fire
30.44	214	349	175	Non-Fire
30.38	208	361	189	Non-Fire
30.44	213	351	188	Non-Fire
30.44	215	355	176	Non-Fire
30.44	215	354	176	Non-Fire
30.44	212	350	177	Non-Fire
30.44	214	347	191	Non-Fire
30.44	208	345	191	Non-Fire
